epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3662,1.40873,2.6374,2.85229,1.30008,0,0.59019,0.60739,0.62306,0.36948,0.33164,0.29446,0.23386,0.08685,1.26236,10.5334,2.86547,1.23627,0,0.000329787,0.000329787,0.0673511
2,77.2377,1.21729,1.98655,1.30539,1.17489,0,0.67138,0.63693,0.70664,0.43819,0.64502,0.59423,0.63862,0.33378,1.22633,2.12501,1.5694,1.21257,0,0.000656556,0.000656556,0.0343445
3,112.485,1.17671,1.84087,1.18285,1.15222,0,0.69922,0.77569,0.8323,0.52388,0.69196,0.75243,0.79504,0.40503,1.22803,1.79342,1.15791,1.22528,0,0.000976724,0.000976724,0.00133133
4,148.637,1.15058,1.80639,1.09465,1.13415,0,0.7827,0.79933,0.86996,0.55998,0.77732,0.79317,0.85775,0.48354,1.1663,1.72661,1.02645,1.17805,0,0.0009703,0.0009703,0.0009703
5,184.445,1.12212,1.75964,1.02547,1.12988,0,0.84795,0.84416,0.90767,0.61678,0.81761,0.81599,0.85907,0.4726,1.10887,1.77539,0.8628,1.13329,0,0.0009604,0.0009604,0.0009604
6,219.998,1.10362,1.74336,0.98028,1.11106,0,0.87454,0.91298,0.92111,0.63604,0.86043,0.89382,0.90074,0.50012,1.03512,1.65893,0.77538,1.09144,0,0.0009505,0.0009505,0.0009505
7,255.148,1.09474,1.71197,0.93734,1.11117,0,0.8172,0.8512,0.85938,0.57796,0.79463,0.82676,0.82452,0.45904,1.09995,1.74594,0.89188,1.11817,0,0.0009406,0.0009406,0.0009406
8,290.319,1.07099,1.67086,0.92443,1.09289,0,0.85578,0.89409,0.91134,0.64062,0.84346,0.88468,0.88854,0.50036,1.05688,1.61768,0.7679,1.094,0,0.0009307,0.0009307,0.0009307
9,325.369,1.044,1.65504,0.86779,1.08247,0,0.88447,0.8758,0.91989,0.65768,0.86496,0.8558,0.88774,0.53212,0.9906,1.57014,0.7412,1.06232,0,0.0009208,0.0009208,0.0009208
10,360.528,1.05258,1.66056,0.85643,1.0812,0,0.87419,0.92539,0.9355,0.6639,0.85067,0.89998,0.89407,0.50955,0.98966,1.67225,0.67609,1.05618,0,0.0009109,0.0009109,0.0009109
11,395.146,1.0337,1.63937,0.83777,1.07316,0,0.8704,0.9258,0.93374,0.67844,0.85867,0.91147,0.91578,0.53144,0.97227,1.48933,0.72644,1.03749,0,0.000901,0.000901,0.000901
12,430.116,1.02302,1.62443,0.82808,1.07094,0,0.88205,0.89736,0.93538,0.67075,0.85543,0.86198,0.88591,0.48916,0.98751,1.70258,0.64346,1.05659,0,0.0008911,0.0008911,0.0008911
13,465.107,1.01203,1.5923,0.78591,1.05647,0,0.8977,0.91757,0.93135,0.67535,0.89652,0.90812,0.92461,0.55124,0.97541,1.5736,0.70325,1.04393,0,0.0008812,0.0008812,0.0008812
14,500.409,1.01694,1.58702,0.79438,1.06621,0,0.88014,0.9204,0.93585,0.65713,0.86961,0.90769,0.91203,0.53718,1.02487,1.49407,0.69303,1.0692,0,0.0008713,0.0008713,0.0008713
15,536.3,0.99285,1.5546,0.76254,1.04944,0,0.88559,0.92102,0.9382,0.68056,0.87529,0.90851,0.91861,0.54637,0.95116,1.53695,0.6492,1.0353,0,0.0008614,0.0008614,0.0008614
16,570.503,0.9885,1.56927,0.7415,1.04663,0,0.89675,0.92507,0.94565,0.68494,0.87333,0.90199,0.91663,0.52932,0.96595,1.55419,0.62471,1.02633,0,0.0008515,0.0008515,0.0008515
17,605.071,0.99101,1.54802,0.74701,1.05478,0,0.87516,0.92854,0.93003,0.67859,0.85335,0.90255,0.89235,0.53369,0.94966,1.50486,0.64979,1.02277,0,0.0008416,0.0008416,0.0008416
18,639.175,0.97113,1.51275,0.73132,1.04237,0,0.90082,0.94105,0.94165,0.68443,0.88531,0.9266,0.92139,0.53676,0.94223,1.51517,0.59571,1.0163,0,0.0008317,0.0008317,0.0008317
19,673.327,0.96353,1.50298,0.73056,1.04327,0,0.85684,0.95234,0.93759,0.69107,0.84495,0.93939,0.92223,0.5375,0.92889,1.52679,0.60972,1.02469,0,0.0008218,0.0008218,0.0008218
20,707.886,0.96474,1.50133,0.70027,1.03603,0,0.87872,0.93557,0.93161,0.68228,0.89925,0.89891,0.91883,0.53387,0.91384,1.51672,0.59731,1.01381,0,0.0008119,0.0008119,0.0008119
21,742.411,0.96038,1.5085,0.71616,1.03719,0,0.88256,0.92064,0.93109,0.68013,0.86464,0.90222,0.90238,0.53922,0.93212,1.53723,0.60644,1.0135,0,0.000802,0.000802,0.000802
22,777.068,0.95287,1.49184,0.6935,1.02919,0,0.87264,0.95399,0.94296,0.7014,0.85778,0.94022,0.92494,0.56059,0.89147,1.48388,0.55861,0.9978,0,0.0007921,0.0007921,0.0007921
23,811.873,0.92893,1.47332,0.66563,1.01998,0,0.89846,0.92039,0.94282,0.70095,0.87966,0.8917,0.91004,0.55763,0.91796,1.49299,0.57282,0.99942,0,0.0007822,0.0007822,0.0007822
24,846.147,0.93922,1.47646,0.67624,1.0249,0,0.8712,0.92992,0.93685,0.67841,0.85948,0.91742,0.91749,0.55428,0.95282,1.49492,0.60732,1.01671,0,0.0007723,0.0007723,0.0007723
25,880.549,0.93036,1.44115,0.65958,1.01617,0,0.89332,0.91781,0.95049,0.68745,0.88147,0.90224,0.92895,0.5633,0.9405,1.51021,0.57382,1.01656,0,0.0007624,0.0007624,0.0007624
26,914.635,0.92365,1.43757,0.65571,1.01777,0,0.9024,0.92205,0.92483,0.67459,0.89258,0.91111,0.90235,0.54096,0.93259,1.50918,0.58662,1.01086,0,0.0007525,0.0007525,0.0007525
27,949.031,0.92206,1.45782,0.6488,1.02097,0,0.9162,0.93684,0.95093,0.69151,0.89911,0.92085,0.9265,0.56611,0.92749,1.48319,0.55741,1.01047,0,0.0007426,0.0007426,0.0007426
28,983.923,0.92059,1.43808,0.64129,1.01543,0,0.92046,0.92038,0.9476,0.70598,0.90944,0.90652,0.92636,0.55802,0.90357,1.52809,0.55154,0.99565,0,0.0007327,0.0007327,0.0007327
29,1018.74,0.92103,1.45478,0.64513,1.01587,0,0.89175,0.92446,0.92707,0.67468,0.87092,0.90248,0.8944,0.53534,0.93479,1.59155,0.59131,1.02067,0,0.0007228,0.0007228,0.0007228
30,1053.44,0.90612,1.43455,0.63371,1.00681,0,0.91708,0.92789,0.9559,0.70894,0.90208,0.91431,0.93955,0.58182,0.90032,1.41135,0.55398,0.99859,0,0.0007129,0.0007129,0.0007129
31,1088.53,0.90876,1.45415,0.64449,1.01384,0,0.90164,0.94745,0.93194,0.68913,0.89088,0.92376,0.91838,0.54343,0.90801,1.46739,0.53663,1.00144,0,0.000703,0.000703,0.000703
32,1124.04,0.90963,1.43875,0.63069,1.00613,0,0.88089,0.94072,0.94014,0.69878,0.85539,0.93341,0.90954,0.57484,0.89294,1.52257,0.56196,0.99101,0,0.0006931,0.0006931,0.0006931
33,1158.72,0.9105,1.43644,0.61971,1.00988,0,0.90152,0.91008,0.94189,0.70057,0.89339,0.90418,0.92124,0.57118,0.89584,1.47546,0.55045,0.99559,0,0.0006832,0.0006832,0.0006832
34,1193.12,0.89858,1.43209,0.61343,1.00266,0,0.91232,0.92816,0.93518,0.68368,0.8959,0.91061,0.91179,0.55344,0.89731,1.5212,0.53384,0.99082,0,0.0006733,0.0006733,0.0006733
35,1227.78,0.89386,1.4037,0.60919,0.99934,0,0.8967,0.94452,0.94119,0.71014,0.87866,0.92497,0.91353,0.55412,0.89094,1.46134,0.53861,0.98425,0,0.0006634,0.0006634,0.0006634
36,1262.56,0.90017,1.43563,0.63249,1.0024,0,0.89391,0.92918,0.93631,0.70248,0.88293,0.91743,0.9159,0.5764,0.89887,1.48605,0.54246,0.99488,0,0.0006535,0.0006535,0.0006535
37,1297.16,0.8885,1.3962,0.61229,0.99836,0,0.90533,0.93763,0.93934,0.68839,0.87184,0.92495,0.89894,0.554,0.91639,1.53553,0.55964,1.00351,0,0.0006436,0.0006436,0.0006436
38,1331.83,0.89875,1.41252,0.60637,1.00424,0,0.88967,0.94445,0.93941,0.70675,0.87814,0.93252,0.92241,0.54786,0.89393,1.46094,0.53044,0.99624,0,0.0006337,0.0006337,0.0006337
39,1366.13,0.88397,1.39411,0.5972,1.00264,0,0.93015,0.90482,0.94361,0.70993,0.91363,0.89,0.91949,0.56356,0.88369,1.4633,0.54269,0.99306,0,0.0006238,0.0006238,0.0006238
40,1400.56,0.87418,1.39514,0.59897,0.99792,0,0.88489,0.94715,0.93934,0.70209,0.88589,0.92592,0.92349,0.57648,0.87577,1.41977,0.53522,0.98227,0,0.0006139,0.0006139,0.0006139
41,1435.25,0.87602,1.3733,0.5799,0.99607,0,0.89192,0.93526,0.93685,0.6964,0.87689,0.92147,0.91699,0.55768,0.8866,1.45242,0.53539,0.98852,0,0.000604,0.000604,0.000604
42,1469.84,0.87688,1.39355,0.59927,0.99275,0,0.87591,0.93922,0.93769,0.68987,0.86647,0.91527,0.91865,0.57013,0.89036,1.43788,0.53005,0.98531,0,0.0005941,0.0005941,0.0005941
43,1504.06,0.86514,1.36183,0.59038,0.99076,0,0.89319,0.95096,0.94671,0.70736,0.87579,0.92728,0.91643,0.56099,0.87903,1.42978,0.53416,0.98463,0,0.0005842,0.0005842,0.0005842
44,1538.35,0.86666,1.36508,0.58445,0.99731,0,0.9051,0.92746,0.94685,0.71029,0.89533,0.90806,0.92984,0.58208,0.8654,1.40973,0.50359,0.97842,0,0.0005743,0.0005743,0.0005743
